GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,FGM,PTS
132,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,1,1,8:48,9.5,0,0.0,3.7,2,made,"Booker, Trevor",202344,2.4,1,2
133,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,2,1,7:28,11.6,2,2.2,17.4,2,missed,"Gobert, Rudy",203497,5.2,0,0
134,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,3,1,6:26,13.8,1,1.8,2.5,2,made,"Gobert, Rudy",203497,1.9,1,2
135,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,4,1,5:09,12.3,3,5.3,5.6,2,missed,"Gobert, Rudy",203497,3.0,0,0
136,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,5,1,2:19,8.1,3,3.1,5.2,2,missed,"Ingles, Joe",204060,0.3,0,0
137,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,6,2,5:04,18.9,0,1.2,14.1,2,missed,"Booker, Trevor",202344,4.7,0,0
138,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,7,2,4:54,16.0,1,1.2,5.0,2,made,"Gobert, Rudy",203497,2.4,1,2
139,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,8,2,4:21,10.5,0,0.7,3.4,2,missed,"Gobert, Rudy",203497,3.0,0,0
140,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,9,3,6:43,7.9,1,2.4,18.8,2,missed,"Exum, Dante",203957,2.9,0,0
141,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,10,3,3:31,12.1,2,5.6,22.9,2,missed,"Hayward, Gordon",202330,4.1,0,0
142,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,11,3,2:49,11.4,2,2.5,9.3,2,made,"Hayward, Gordon",202330,0.9,1,2
143,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,12,3,1:46,18.7,1,1.6,3.9,2,missed,"Gobert, Rudy",203497,1.1,0,0
144,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,13,3,0:02,,8,6.0,9.8,2,missed,"Johnson, Chris",203187,3.1,0,0
145,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,14,4,10:39,13.0,1,1.5,6.3,2,made,"Evans, Jeremy",202379,2.9,1,2
146,0021401106,"MAR 30, 2015 - MIN vs. UTA",H,L,-20,15,4,4:35,7.3,8,7.2,14.7,2,missed,"Hayward, Gordon",202330,2.1,0,0
147,0021401094,"MAR 29, 2015 - MIN @ NOP",A,L,-22,1,1,8:46,24.0,0,2.3,17.5,2,missed,"Gordon, Eric",201569,3.3,0,0
